 rseg,year,month,irrigation_cfs
 WL0_4600_0000, 1992, 9,  0.185705155
 WL0_4600_0000, 1992, 10,  0.108328015
 WL0_4600_0000, 1993, 5,  0.123803444
 WL0_4600_0000, 1993, 6,  0.216656029
 WL0_4600_0000, 1993, 7,  0.263082325
 WL0_4600_0000, 1993, 8,  0.263082325
 WL0_4600_0000, 1993, 9,  0.216656029
 WL0_4600_0000, 1993, 10,  0.123803444
 WL0_4600_0000, 1994, 5,  0.0464262888
 WL0_4600_0000, 1994, 6,  0.0773771554
 WL0_4600_0000, 1994, 7,  0.108328015
 WL0_4600_0000, 1994, 8,  0.108328015
 WL0_4600_0000, 1994, 9,  0.0773771554
 WL0_4600_0000, 1994, 10,  0.0464262888
 WL0_4600_0000, 1995, 5,  0.0619017221
 WL0_4600_0000, 1995, 6,  0.108328015
 WL0_4600_0000, 1995, 7,  0.139278874
 WL0_4600_0000, 1995, 8,  0.139278874
 WL0_4600_0000, 1995, 9,  0.108328015
 WL0_4600_0000, 1995, 10,  0.0619017221
 WL0_4600_0000, 1996, 5,  0.0309508611
 WL0_4600_0000, 1996, 6,  0.0619017221
 WL0_4600_0000, 1996, 7,  0.0928525776
 WL0_4600_0000, 1996, 8,  0.0928525776
 WL0_4600_0000, 1996, 9,  0.0619017221
 WL0_4600_0000, 1996, 10,  0.0309508611
 WL0_4600_0000, 1997, 5,  0.0619017221
 WL0_4600_0000, 1997, 6,  0.123803444
 WL0_4600_0000, 1997, 7,  0.154754311
 WL0_4600_0000, 1997, 8,  0.154754311
 WL0_4600_0000, 1997, 9,  0.123803444
 WL0_4600_0000, 1997, 10,  0.0619017221
 WL0_4600_0000, 1998, 5,  0.154754311
 WL0_4600_0000, 1998, 6,  0.278557748
 WL0_4600_0000, 1998, 7,  0.355934918
 WL0_4600_0000, 1998, 8,  0.355934918
 WL0_4600_0000, 1998, 9,  0.278557748
 WL0_4600_0000, 1998, 10,  0.154754311
 WL0_4600_0000, 1999, 5,  0.0154754305
 WL0_4600_0000, 1999, 6,  0.0309508611
 WL0_4600_0000, 1999, 7,  0.0309508611
 WL0_4600_0000, 1999, 8,  0.0309508611
 WL0_4600_0000, 1999, 9,  0.0309508611
 WL0_4600_0000, 1999, 10,  0.0154754305
 WL0_4600_0000, 2000, 5,  0.0154754305
 WL0_4600_0000, 2000, 6,  0.0309508611
 WL0_4600_0000, 2000, 7,  0.0464262888
 WL0_4600_0000, 2000, 8,  0.0464262888
 WL0_4600_0000, 2000, 9,  0.0309508611
 WL0_4600_0000, 2000, 10,  0.0154754305
 WL0_4600_0000, 2001, 5,  0.0154754305
 WL0_4600_0000, 2001, 6,  0.0309508611
 WL0_4600_0000, 2001, 7,  0.0464262888
 WL0_4600_0000, 2001, 8,  0.0464262888
 WL0_4600_0000, 2001, 9,  0.0309508611
 WL0_4600_0000, 2001, 10,  0.0154754305
 WL0_4600_0000, 2002, 5,  0.0154754305
 WL0_4600_0000, 2002, 6,  0.0309508611
 WL0_4600_0000, 2002, 7,  0.0464262888
 WL0_4600_0000, 2002, 8,  0.0464262888
 WL0_4600_0000, 2002, 9,  0.0309508611
 WL0_4600_0000, 2002, 10,  0.0154754305
 WL0_4600_0000, 2003, 5,  0.0154754305
 WL0_4600_0000, 2003, 6,  0.0309508611
 WL0_4600_0000, 2003, 7,  0.0464262888
 WL0_4600_0000, 2003, 8,  0.0464262888
 WL0_4600_0000, 2003, 9,  0.0309508611
 WL0_4600_0000, 2003, 10,  0.0154754305
 WL0_4600_0000, 2004, 5,  0.0154754305
 WL0_4600_0000, 2004, 6,  0.0309508611
 WL0_4600_0000, 2004, 7,  0.0464262888
 WL0_4600_0000, 2004, 8,  0.0464262888
 WL0_4600_0000, 2004, 9,  0.0309508611
 WL0_4600_0000, 2004, 10,  0.0154754305
 WL0_4600_0000, 2005, 5,  0.0154754305
 WL0_4600_0000, 2005, 6,  0.0309508611
 WL0_4600_0000, 2005, 7,  0.0464262888
 WL0_4600_0000, 2005, 8,  0.0464262888
 WL0_4600_0000, 2005, 9,  0.0309508611
 WL0_4600_0000, 2005, 10,  0.0154754305
 WM0_3650_0001, 1984, 5,  0.0154754305
 WM0_3650_0001, 1984, 6,  0.0309508611
 WM0_3650_0001, 1984, 7,  0.0464262888
 WM0_3650_0001, 1984, 8,  0.0464262888
 WM0_3650_0001, 1984, 9,  0.0309508611
 WM0_3650_0001, 1984, 10,  0.0154754305
 WM0_3650_0001, 1985, 5,  0.0154754305
 WM0_3650_0001, 1985, 6,  0.0309508611
 WM0_3650_0001, 1985, 7,  0.0464262888
 WM0_3650_0001, 1985, 8,  0.0464262888
 WM0_3650_0001, 1985, 9,  0.0309508611
 WM0_3650_0001, 1985, 10,  0.0154754305
 WM0_3650_0001, 1987, 5,  0.0154754305
 WM0_3650_0001, 1987, 6,  0.0309508611
 WM0_3650_0001, 1987, 7,  0.0464262888
 WM0_3650_0001, 1987, 8,  0.0464262888
 WM0_3650_0001, 1987, 9,  0.0309508611
 WM0_3650_0001, 1987, 10,  0.0154754305
 WM0_3650_0001, 1988, 5,  0.0154754305
 WM0_3650_0001, 1988, 6,  0.0309508611
 WM0_3650_0001, 1988, 7,  0.0464262888
 WM0_3650_0001, 1988, 8,  0.0464262888
 WM0_3650_0001, 1988, 9,  0.0309508611
 WM0_3650_0001, 1988, 10,  0.0154754305
 WM0_3650_0001, 1989, 5,  0.0154754305
 WM0_3650_0001, 1989, 6,  0.0309508611
 WM0_3650_0001, 1989, 7,  0.0464262888
 WM0_3650_0001, 1989, 8,  0.0464262888
 WM0_3650_0001, 1989, 9,  0.0309508611
 WM0_3650_0001, 1989, 10,  0.0154754305
 WM0_3650_0001, 1991, 5,  0.0309508611
 WM0_3650_0001, 1991, 6,  0.0464262888
 WM0_3650_0001, 1991, 7,  0.0619017221
 WM0_3650_0001, 1991, 8,  0.0619017221
