TABLE->,SOIL-DATA2,SOIL-DATA2,SOIL-DATA2,SOIL-DATA2,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,CROP-DATES,NIT-YIELD,NIT-YIELD,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#1,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#2,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#3,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4,MON-NUPT-FR2#4
VARS->,SWILTP,UWILTP,LWILTP,AWILTP,NCRP,PM1,PD1,HM1,HD1,PM2,PD2,HM2,HD2,PM3,PD3,HM3,HD3,NUTTGT,NMXRAT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A10001,0.038043,0.038043,0.038043,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A10003,0.010000,0.010000,0.010000,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A10005,0.033635,0.033635,0.033635,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A11001,0.100000,0.100000,0.100000,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A24001,0.010000,0.010000,0.010000,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A24003,0.010000,0.010000,0.010000,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A24005,0.010000,0.010000,0.010000,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A24009,0.037399,0.037399,0.037399,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
A24011,0.065934,0.065934,0.065934,0.1,1,1,1,12,31,na,na,na,na,na,na,na,na,105,1,0.01,0.04,0.09,0.115,0.135,0.145,0.15,0.14,0.095,0.05,0.025,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.56,0.65,0.65,0.65,0.65,0.6,0.55,0.5,0.45,0.56,0.56,0.43,0.43,0.34,0.34,0.34,0.34,0.39,0.44,0.49,0.54,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0
