 seg ,TOTN,TOTP
SJ2_2150_2130,    1.1099,    1.0363
SJ2_2110_2170,    1.1099,    1.0363
SJ2_1900_1930,    1.1099,    1.0363
SJ3_2160_2170,    1.1099,    1.0363
SJ3_2170_1970,    1.1099,    1.0363
SJ1_2280_2450,    1.1099,    1.0363
SJ3_2040_1980,    1.1099,    1.0363
SJ2_2580_2500,    1.1099,    1.0363
SJ2_2500_2450,    1.1099,    1.0363
SJ2_2570_2660,    1.1099,    1.0363
SJ3_2450_2120,    1.1099,    1.0363
SJ3_2250_2230,    1.1099,    1.0363
SJ2_2530_2820,    1.1099,    1.0363
SJ3_1980_2060,    1.1099,    1.0363
SJ3_2230_2060,    1.1099,    1.0363
SJ2_2900_2740,    1.1099,    1.0363
SJ4_2060_2010,    1.1099,    1.0363
SJ4_2010_2210,    1.1099,    1.0363
SJ2_2820_2740,    1.1099,    1.0363
SJ4_2740_2660,    1.1099,    1.0363
SJ4_2660_2360,    1.1099,    1.0363
SJ4_2360_2340,    1.1099,    1.0363
SJ4_2340_2210,    1.1099,    1.0363
SJ5_2210_2320,    1.1099,    1.0363
SJ5_2320_2120,    1.1099,    1.0363
SJ5_2120_1930,    1.1099,    1.0363
SJ6_1930_1970,    1.1099,    1.0363
SJ6_1970_2130,    1.1099,    1.0363
SJ6_2130_2050, -999.0000, -999.0000
