 seg ,TOTN,TOTP
TU2_8790_9070,    0.9164,    0.9386
TU1_9220_9200, -999.0000, -999.0000
TU2_9070_9090, -999.0000, -999.0000
TU2_8950_9040,    1.0028,    0.9541
TU2_9100_9200, -999.0000, -999.0000
TU2_9200_9180, -999.0000, -999.0000
TU3_9040_9180, -999.0000, -999.0000
TU3_9180_9090, -999.0000, -999.0000
TU3_8880_9230, -999.0000, -999.0000
TU3_9060_9230, -999.0000, -999.0000
TU3_9230_9260, -999.0000, -999.0000
TU1_9010_9290, -999.0000, -999.0000
TU3_8650_8800,    1.0039,    0.9465
TU4_8800_9290, -999.0000, -999.0000
TU2_8970_9280, -999.0000, -999.0000
TU2_8860_9000, -999.0000, -999.0000
TU1_8570_8680,    0.9149,    0.7291
TU3_8480_8680,    0.9149,    0.7291
TU4_8680_8810,    0.9149,    0.7291
TU4_8810_9000, -999.0000, -999.0000
TU5_9000_9280, -999.0000, -999.0000
