riverseg,landseg,landuse,nutrient,loadingrate
DE0_2920_0000,A10003,afo,sedm,7.5999999
DE0_3380_0000,A10003,cfo,sedm,0
DE0_4800_0000,A10005,afo,sedm,0.28999999
DE0_5170_0000,A10005,afo,sedm,0.28999999
DE0_5170_0000,A24047,afo,sedm,2.5699999
DE0_7130_0000,F51131,cfo,sedm,0
EL0_4560_4562,A10001,afo,sedm,1.9
EL0_4561_4562,A10005,afo,sedm,0.28999999
EL0_4591_0000,A10005,afo,sedm,0.28999999
EL0_5151_0000,A24019,afo,sedm,0.75999999
EL0_5262_0000,A24019,afo,sedm,0.75999999
EL0_5281_0000,A24019,cfo,sedm,0
EL0_5762_0000,A24045,afo,sedm,1.52
EL0_5762_0000,A24045,cfo,sedm,0
EL0_5764_0000,A24045,afo,sedm,1.52
EL0_5764_0000,A24045,cfo,sedm,0
EL0_5765_0000,A24039,afo,sedm,0.28999999
EL0_5892_0000,A24039,afo,sedm,0.28999999
EL0_5893_0000,A24039,afo,sedm,0.28999999
EL0_5895_0000,A51001,cfo,sedm,0
EL0_5973_0000,A51001,cfo,sedm,0
EL0_6001_0000,A24039,afo,sedm,0.28999999
EL0_7220_0000,A51131,afo,sedm,22.23
EL1_5570_0001,A24045,afo,sedm,1.52
EL1_5570_0001,A24045,cfo,sedm,0
EL1_6000_0001,A24039,cfo,sedm,0
EL2_4630_0000,A24011,afo,sedm,0.38
EL3_5970_0000,A24039,cfo,sedm,0
EM0_4322_0000,A24011,afo,sedm,0.38
EM0_4870_0000,A24041,cfo,sedm,0
EM0_4885_0000,A24019,afo,sedm,0.75999999
EM0_5261_0000,A24019,cfo,sedm,0
EM2_4101_0000,A24011,cfo,sedm,0
EM2_4101_0000,A24035,afo,sedm,1.52
EM3_4320_0000,A24011,afo,sedm,0.38
EM4_4740_0000,A24041,cfo,sedm,0
EU0_3010_0000,A10003,cfo,sedm,0
EU0_3201_0000,A24015,cfo,sedm,0
EU0_3203_0000,A24015,cfo,sedm,0
EU0_3301_0000,A24015,afo,sedm,4.6599998
EU0_3361_0000,A24029,cfo,sedm,0
EU0_3362_0000,A24015,cfo,sedm,0
EU0_3362_0000,A24029,afo,sedm,12.07
EU0_3570_0000,F24029,afo,sedm,12.07
EU0_3573_0000,A24029,afo,sedm,12.07
EU0_3722_0000,A24035,cfo,sedm,0
EU0_4014_0000,A24029,cfo,sedm,0
EU0_4016_0000,A24029,afo,sedm,12.07
EU0_4121_0000,A24035,afo,sedm,1.52
EU0_4122_0000,A24029,cfo,sedm,0
EU0_4610_0000,A24035,afo,sedm,1.52
EU1_2982_0000,A24015,afo,sedm,4.6599998
EU2_3520_0001,A10001,cfo,sedm,0
GY0_3951_3952,A54077,afo,sedm,15.2
JA2_7550_7280,A51049,afo,sedm,9.79
JA2_7550_7280,F51011,cfo,sedm,0
JA4_7280_7340,A51145,cfo,sedm,0
JA4_7340_7470,A51145,afo,sedm,3.04
JA5_7520_0000,A51041,cfo,sedm,0
JA5_7520_0000,F51053,cfo,sedm,0
JB0_7050_0000,A51095,afo,sedm,6.0799999
JB0_7050_0000,A51095,cfo,sedm,0
JB0_7071_0000,A51760,afo,sedm,0
JB0_7072_0000,F51181,cfo,sedm,0
JB0_7072_0000,F51830,cfo,sedm,0
JB0_7073_0000,A51036,cfo,sedm,0
JB0_7270_0000,A51036,afo,sedm,1.8099999
JB0_7270_0000,F51149,afo,sedm,0
JB0_7381_0000,A51710,afo,sedm,0
JB0_7383_0000,A51740,afo,sedm,0
JB0_7383_0000,A51800,afo,sedm,0.56999999
JB0_7391_0000,F51199,afo,sedm,0
JB0_7392_0000,A51181,cfo,sedm,0
JB0_7580_0000,F51650,afo,sedm,0
JB1_8090_0001,A51800,afo,sedm,0.56999999
JB1_8090_0001,A51800,cfo,sedm,0
JB1_8090_0001,F51800,cfo,sedm,0
JB3_6820_7053,A51087,afo,sedm,2.28
JL1_6560_6440,A51003,afo,sedm,27.08
JL1_6560_6440,B51003,afo,sedm,27.08
JL1_6910_6960,A51065,cfo,sedm,0
JL1_6940_7200,A51125,afo,sedm,22.23
JL1_7080_7190,A51009,afo,sedm,32.779999
JL2_6240_6520,A51003,afo,sedm,27.08
JL2_6240_6520,A51079,cfo,sedm,0
JL2_6240_6520,B51003,afo,sedm,27.08
JL2_7250_7090,A51125,afo,sedm,22.23
JL2_7350_7090,A51009,afo,sedm,32.779999
JL4_6520_6710,A51109,afo,sedm,2.5699999
JL6_6970_6740,A51029,afo,sedm,18.719999
JL6_6990_6960,A51029,cfo,sedm,0
JL6_6990_6960,A51065,cfo,sedm,0
JL6_7150_6890,A51125,cfo,sedm,0
JL6_7160_7440,B51009,cfo,sedm,0
JL6_7320_7150,A51011,afo,sedm,17.389999
JL6_7320_7150,A51125,cfo,sedm,0
JL6_7430_7320,A51009,afo,sedm,32.779999
JL7_7030_6800,A51049,cfo,sedm,0
JL7_7100_7030,A51049,afo,sedm,9.79
JU1_6880_7260,A51015,afo,sedm,35.529999
JU1_7560_7500,F51023,cfo,sedm,0
JU1_7560_7500,F51045,cfo,sedm,0
JU1_7630_7490,A51045,cfo,sedm,0
JU1_7630_7490,F51045,cfo,sedm,0
JU1_7690_7490,F51121,afo,sedm,67.169998
JU2_6600_6810,F51017,cfo,sedm,0
JU3_6380_6900,F51017,afo,sedm,14.35
JU3_6640_6790,F51017,cfo,sedm,0
JU3_6650_7300,F51163,cfo,sedm,0
JU3_6790_7260,C51015,cfo,sedm,0
JU3_6950_7330,A51017,afo,sedm,14.35
JU3_7400_7510,A51005,cfo,sedm,0
JU4_7000_7300,A51005,afo,sedm,14.63
JU4_7260_7380,A51530,cfo,sedm,0
JU4_7330_7000,A51005,afo,sedm,14.63
JU5_7500_7420,B51023,cfo,sedm,0
MN0_7790_0000,A51810,afo,sedm,0.86000001
MN1_7590_7860,A51093,cfo,sedm,0
MN2_7850_0000,A51550,cfo,sedm,0
MN4_7710_8161,A51053,afo,sedm,12.26
MN4_7810_8080,A51181,cfo,sedm,0
MN4_8080_8110,A51093,afo,sedm,0.47999999
NR6_7820_7960,A51121,afo,sedm,67.169998
NR6_7820_7960,B51071,afo,sedm,4.5599999
NR6_8170_7960,C51071,cfo,sedm,0
OR2_7610_7780,B51019,cfo,sedm,0
OR2_7670_7840,A51031,cfo,sedm,0
DE0_3110_0000,A10003,afo,sedm,7.5999999
DE0_3310_0000,A10003,cfo,sedm,0
DE0_3790_0000,A10001,cfo,sedm,0
DE0_3840_0000,A10001,cfo,sedm,0
DE0_4230_0000,A10001,cfo,sedm,0
DE0_4231_0001,A10001,afo,sedm,1.9
DE0_4800_0000,A10005,cfo,sedm,0
DE0_4990_0000,A10005,cfo,sedm,0
DE0_5170_0000,A10005,cfo,sedm,0
DE0_6210_0000,A51001,afo,sedm,0.38
DE0_6210_0000,A51001,cfo,sedm,0
DE0_6630_0000,A51001,afo,sedm,0.38
EL0_4560_4562,A10001,cfo,sedm,0
EL0_4591_0000,A24019,cfo,sedm,0
EL0_4597_0000,A10005,cfo,sedm,0
EL0_4633_0000,A10005,cfo,sedm,0
EL0_5151_0000,F24019,afo,sedm,0.75999999
EL0_5271_0000,A24047,cfo,sedm,0
EL0_5283_0000,F24019,cfo,sedm,0
EL0_5760_0000,A24045,cfo,sedm,0
EL0_5763_0000,A24039,cfo,sedm,0
EL0_5896_0000,F51001,afo,sedm,0.38
EL0_6002_0000,A24039,afo,sedm,0.28999999
EL0_6004_0000,A24039,cfo,sedm,0
EL0_6011_0000,A24039,afo,sedm,0.28999999
EL0_6480_0000,A51001,afo,sedm,0.38
EL0_6610_0000,A51131,cfo,sedm,0
EL0_6920_0000,A51131,afo,sedm,22.23
EL0_7220_0000,A51131,cfo,sedm,0
EL2_4590_0001,A24011,cfo,sedm,0
EL2_4630_0000,A24011,cfo,sedm,0
EL2_4634_0000,A24045,cfo,sedm,0
EL3_5870_0000,A24047,cfo,sedm,0
EM0_4322_0000,A24011,cfo,sedm,0
EM0_4874_0000,F24041,afo,sedm,0.28999999
EM0_4886_0000,F24019,cfo,sedm,0
EM0_4888_0000,A24019,afo,sedm,0.75999999
EM0_5260_0000,A24019,afo,sedm,0.75999999
EM0_5261_0000,F24019,cfo,sedm,0
EM2_3980_0001,A10001,cfo,sedm,0
EM3_4325_0000,A24011,afo,sedm,0.38
EM3_4325_0000,A24011,cfo,sedm,0
EU0_2940_0000,A24015,cfo,sedm,0
EU0_3201_0000,A10003,afo,sedm,7.5999999
EU0_3301_0000,A24015,cfo,sedm,0
EU0_3302_0000,A24015,afo,sedm,4.6599998
EU0_3364_0000,A24015,afo,sedm,4.6599998
EU0_3571_0000,F24029,afo,sedm,12.07
EU0_3700_0000,A24029,afo,sedm,12.07
EU0_3700_0000,A24035,afo,sedm,1.52
EU0_3830_0001,A24035,afo,sedm,1.52
EU0_4012_0000,A24029,cfo,sedm,0
EU0_4030_0000,A24035,cfo,sedm,0
EU0_4120_0000,A24035,afo,sedm,1.52
EU0_4474_0000,A24035,cfo,sedm,0
EU1_2980_0000,A42029,cfo,sedm,0
GY0_3801_0000,A24023,afo,sedm,5.4200001
GY0_3951_3952,A24023,afo,sedm,5.4200001
GY0_4532_3951,A54077,afo,sedm,0
JA2_7550_7280,A51011,cfo,sedm,0
JA2_7570_7480,A51135,cfo,sedm,0
JB0_7071_0000,F51087,cfo,sedm,0
JB0_7072_0000,A51830,afo,sedm,0
JB0_7073_0000,F51041,afo,sedm,2.6600001
JB0_7074_0000,A51670,cfo,sedm,0
JB0_7074_0000,F51149,afo,sedm,6.0799999
JB0_7074_0000,F51149,cfo,sedm,0
JB0_7074_0000,F51670,cfo,sedm,0
JB0_7270_0000,A51181,afo,sedm,2.47
JB0_7381_0000,A51810,cfo,sedm,0
JB0_7383_0000,A51550,cfo,sedm,0
JB0_7390_0000,A51093,cfo,sedm,0
JB0_7390_0000,A51740,afo,sedm,0
JB0_7396_0000,A51710,cfo,sedm,0
JB0_7398_0000,A51710,afo,sedm,0
JB3_7053_0001,A51127,afo,sedm,22.23
JL2_7240_7350,A51009,cfo,sedm,0
JL2_7240_7350,B51009,afo,sedm,32.779999
JL2_7250_7090,A51125,cfo,sedm,0
JL3_7020_7100,A51029,cfo,sedm,0
