TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
YM1_6370_6620,3,0.05,1.047,0.01,1.350000,88.48062,1.047,1.22,0.01,0.01,1,na,1.047,0.262363,-1.673,0.969,14,3,14
YM2_6120_6430,3,0.05,1.047,0.01,1.350000,82.27730,1.047,1.22,0.01,0.01,1,na,1.047,0.231199,-1.673,0.969,14,3,14
YM3_6430_6620,3,0.05,1.047,0.01,1.350000,88.48062,1.047,1.22,0.01,0.01,1,na,1.047,0.262363,-1.673,0.969,14,3,14
YM4_6620_0001,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
GY0_3800_3801,3,0.05,1.047,0.01,1.350000,68.74421,1.047,1.22,0.01,0.01,1,na,1.047,1.764589,-1.673,0.969,14,3,14
GY0_3950_3952,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
GY0_4240_3951,na,0.05,1.047,0.01,1.000000,56.35020,1.047,1.22,0.01,0.01,1,0.616075,na,na,na,na,14,3,14
GY0_4530_4532,3,0.05,1.047,0.01,1.350000,181.0423,1.047,1.22,0.01,0.01,1,na,1.047,0.077203,-1.673,0.969,14,3,14
GY0_4531_4532,3,0.05,1.047,0.01,1.350000,149.2837,1.047,1.22,0.01,0.01,1,na,1.047,0.137602,-1.673,0.969,14,3,14
GY0_4532_3951,3,0.05,1.047,0.01,1.000000,56.35020,1.047,1.22,0.01,0.01,1,na,1.047,0.206550,-1.673,0.969,14,3,14
GY0_3951_3952,3,0.05,1.047,0.01,1.000000,56.35020,1.047,1.22,0.01,0.01,1,na,1.047,0.206550,-1.673,0.969,14,3,14
XU0_4090_4270,3,0.05,1.047,0.01,1.350000,95.05679,1.047,1.22,0.01,0.01,1,na,1.047,0.615046,-1.673,0.969,14,3,14
XU0_4130_4070,3,0.05,1.047,0.01,1.350000,49.10210,1.047,1.22,0.01,0.01,1,na,1.047,3.562528,-1.673,0.969,14,3,14
XU0_4091_4270,3,0.05,1.047,0.01,1.350000,95.05679,1.047,1.22,0.01,0.01,1,na,1.047,0.615046,-1.673,0.969,14,3,14
XU2_4270_4650,3,0.05,1.047,0.01,1.350000,119.5872,1.047,1.22,0.01,0.01,1,na,1.047,0.121477,-1.673,0.969,14,3,14
XU2_4070_4330,na,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
XU2_4330_4480,na,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
XU2_4480_4650,3,0.05,1.047,0.01,1.350000,119.5872,1.047,1.22,0.01,0.01,1,na,1.047,0.121477,-1.673,0.969,14,3,14
XU3_4650_0001,3,0.05,1.047,0.01,1.350000,119.5872,1.047,1.22,0.01,0.01,1,na,1.047,0.121477,-1.673,0.969,14,3,14
YP1_6570_6680,3,0.05,1.047,0.01,1.350000,46.77852,1.047,1.22,0.01,0.01,1,na,1.047,0.263443,-1.673,0.969,14,3,14
YP3_6470_6690,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP2_6390_6330,na,0.05,1.047,0.01,1.350000,40.62350,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
YP1_6680_6670,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP3_6690_6720,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP3_6330_6700,3,0.05,1.047,0.01,1.350000,200.0000,1.047,1.22,0.01,0.01,1,na,1.047,0.156405,-1.673,0.969,14,3,14
YP3_6700_6670,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP3_6670_6720,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP4_6720_6750,3,0.05,1.047,0.01,1.350000,113.6817,1.047,1.22,0.01,0.01,1,na,1.047,0.359641,-1.673,0.969,14,3,14
YP4_6750_0001,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
JA1_7600_7570,3,0.05,1.047,0.01,1.350000,159.8159,1.047,1.22,0.01,0.01,1,na,1.047,0.188382,-1.673,0.969,14,3,14
JA2_7410_7470,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA2_7570_7480,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA1_7640_7280,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA2_7550_7280,3,0.05,1.047,0.01,1.350000,118.8151,1.047,1.22,0.01,0.01,1,na,1.047,0.232869,-1.673,0.969,14,3,14
JA4_7280_7340,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA4_7340_7470,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA4_7470_7480,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA5_7480_0001,na,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
RU2_5220_5640,3,0.05,1.047,0.01,1.350000,124.9045,1.047,1.22,0.01,0.01,1,na,1.047,0.609774,-1.673,0.969,14,3,14
RU2_5940_6200,3,0.05,1.047,0.01,1.350000,200.0000,1.047,1.22,0.01,0.01,1,na,1.047,0.063430,-1.673,0.969,14,3,14
RU2_5500_5610,3,0.05,1.047,0.01,1.350000,60.10767,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU2_5810_5610,3,0.05,1.047,0.01,1.350000,60.10767,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU2_6090_6220,3,0.05,1.047,0.01,1.350000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU3_5610_5640,3,0.05,1.047,0.01,1.350000,124.9045,1.047,1.22,0.01,0.01,1,na,1.047,0.609774,-1.673,0.969,14,3,14
RU4_5640_6030,3,0.05,1.047,0.01,1.350000,102.4950,1.047,1.22,0.01,0.01,1,na,1.047,1.127588,-1.673,0.969,14,3,14
RU2_6200_6170,3,0.05,1.047,0.01,1.350000,77.05545,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU2_6220_6170,3,0.05,1.047,0.01,1.350000,77.05545,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU3_6170_6040,3,0.05,1.047,0.01,1.350000,77.05545,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
RU4_6040_6030,3,0.05,1.047,0.01,1.350000,102.4950,1.047,1.22,0.01,0.01,1,na,1.047,1.127588,-1.673,0.969,14,3,14
RU5_6030_0001,3,0.05,1.047,0.01,1.350000,102.4950,1.047,1.22,0.01,0.01,1,na,1.047,1.127588,-1.673,0.969,14,3,14
SU1_1630_1610,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU2_1550_1620,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU2_1200_1310,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU1_1480_1500,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU2_1210_1310,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU2_0670_0810,3,0.05,1.047,0.01,1.000000,74.20408,1.047,1.22,0.01,0.01,1,na,1.047,0.129090,-1.673,0.969,14,3,14
SU2_1290_1500,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU3_1310_1280,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU3_1280_1590,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU3_1500_1420,3,0.05,1.047,0.01,1.350000,42.95212,1.047,1.22,0.01,0.01,1,na,1.047,2.307559,-1.673,0.969,14,3,14
SU2_1020_0980,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0810_0970,3,0.05,1.047,0.01,1.350000,43.12704,1.047,1.22,0.01,0.01,1,na,1.047,0.155839,-1.673,0.969,14,3,14
SU1_0660_0710,3,0.05,1.047,0.01,1.350000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0990_0950,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0970_1120,3,0.05,1.047,0.01,1.350000,38.77907,1.047,1.22,0.01,0.01,1,na,1.047,0.996813,-1.673,0.969,14,3,14
SU2_0780_0710,3,0.05,1.047,0.01,1.350000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0760_0960,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU2_0700_0860,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0710_0910,3,0.05,1.047,0.01,1.350000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_0910_1010,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU1_0940_0900,3,0.05,1.047,0.01,1.150000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0800_0850,3,0.05,1.047,0.01,1.350000,62.69252,1.047,1.22,0.01,0.01,1,na,1.047,0.465219,-1.673,0.969,14,3,14
SU2_0890_0900,3,0.05,1.047,0.01,1.150000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0680_0610,3,0.05,1.047,0.01,1.350000,113.8777,1.047,1.22,0.01,0.01,1,na,1.047,0.444635,-1.673,0.969,14,3,14
SU2_0450_0720,3,0.05,1.047,0.01,1.350000,75.53355,1.047,1.22,0.01,0.01,1,na,1.047,0.543846,-1.673,0.969,14,3,14
SU2_0900_0870,3,0.05,1.047,0.01,1.150000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_0870_0730,3,0.05,1.047,0.01,1.145446,60.63169,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0370_0490,3,0.05,1.047,0.01,1.350000,108.0220,1.047,1.22,0.01,0.01,1,na,1.047,0.359550,-1.673,0.969,14,3,14
SU2_0470_0590,3,0.05,1.047,0.01,1.350000,75.53355,1.047,1.22,0.01,0.01,1,na,1.047,0.543846,-1.673,0.969,14,3,14
