specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,ORGP,TOTP,TSSX,ORGC,TSED,acre
ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
nex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
cex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
afo, 0.0000000E+00, 0.0000000E+00, 0.1545226E+03, 0.0000000E+00, 0.3098575E+03, 0.4643800E+03, 0.4238171E+02, 0.4285414E+02, 0.8523585E+02, 0.1075729E+04, 0.1758939E+04, 0.5378645E+00, 0.3545277E+01
cfo, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
rid, 0.1924444E+03, 0.1955824E+04, 0.2000571E+03, 0.0000000E+00, 0.4413667E+03, 0.6414237E+03, 0.8294126E+02, 0.1192320E+02, 0.9486446E+02, 0.3343214E+05, 0.7768363E+04, 0.1671608E+02, 0.6664165E+02
nid, 0.1957233E+04, 0.1988495E+05, 0.2034422E+04, 0.0000000E+00, 0.4488299E+04, 0.6522722E+04, 0.8434047E+03, 0.1212278E+03, 0.9646325E+03, 0.3404896E+06, 0.7899698E+05, 0.1702448E+03, 0.6787765E+03
cid, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
wwtp  , 0.4366374E+00, 0.7352102E+01, 0.1603548E+02, 0.1816009E+01, 0.3513325E+01, 0.2136481E+02, 0.2991074E+01, 0.5697283E+00, 0.3560802E+01, 0.2829584E+02, 0.1994713E+02, 0.1414792E-01
indus , 0.3179896E+00, 0.5882939E+01, 0.2074578E+00, 0.1262035E+01, 0.2593222E+00, 0.1728815E+01, 0.5791437E-02, 0.2852476E-02, 0.8643914E-02, 0.2593223E+02, 0.1472431E+01, 0.1296611E-01
cso   , 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
septic, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
atdep , 0.0000000E+00, 0.0000000E+00, 0.4274367E+03, 0.1694620E+04, 0.8696127E+02, 0.2209018E+04, 0.2717540E+02, 0.8043918E+02, 0.1076146E+03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1743570E+03
PL1_5910_0001, 0.1915341E+05, 0.1974412E+06, 0.5459561E+04, 0.3340104E+05, 0.3105158E+05, 0.6991218E+05, 0.4203815E+04, 0.8167303E+03, 0.5020545E+04, 0.1983778E+07, 0.5481419E+06, 0.9918892E+03, 0.1553372E+05
A24037, 0.1911058E+05, 0.1969817E+06, 0.5439486E+04, 0.3337007E+05, 0.3093236E+05, 0.6974192E+05, 0.4190288E+04, 0.8138522E+03, 0.5004141E+04, 0.1979939E+07, 0.5459902E+06, 0.9899697E+03, 0.1551119E+05
F24037, 0.4283364E+02, 0.4595148E+03, 0.2007497E+02, 0.3096780E+02, 0.1192174E+03, 0.1702602E+03, 0.1352712E+02, 0.2878081E+01, 0.1640520E+02, 0.3838876E+04, 0.2151536E+04, 0.1919438E+01, 0.2253498E+02
PL1_5910_0001-A24037, 0.1911058E+05, 0.1969817E+06, 0.5439486E+04, 0.3337007E+05, 0.3093236E+05, 0.6974192E+05, 0.4190288E+04, 0.8138522E+03, 0.5004141E+04, 0.1979939E+07, 0.5459902E+06, 0.9899697E+03, 0.1551119E+05
PL1_5910_0001-F24037, 0.4283364E+02, 0.4595148E+03, 0.2007497E+02, 0.3096780E+02, 0.1192174E+03, 0.1702602E+03, 0.1352712E+02, 0.2878081E+01, 0.1640520E+02, 0.3838876E+04, 0.2151536E+04, 0.1919438E+01, 0.2253498E+02
24-for, 0.1229388E+05, 0.1270330E+06, 0.1073516E+04, 0.9053896E+04, 0.9360526E+04, 0.1948794E+05, 0.4939852E+03, 0.1571226E+03, 0.6511078E+03, 0.3539847E+06, 0.1657529E+06, 0.1769923E+03, 0.1098865E+05
24-hvf, 0.1355718E+03, 0.1427457E+04, 0.8146030E+02, 0.1490332E+04, 0.4071151E+03, 0.1978908E+04, 0.5056873E+02, 0.1007173E+02, 0.6064046E+02, 0.3194682E+05, 0.7228634E+04, 0.1597341E+02, 0.1109967E+03
24-hwm, 0.3598960E+03, 0.3524042E+04, 0.2237195E+03, 0.2042176E+04, 0.1891576E+04, 0.4157471E+04, 0.2991013E+03, 0.4971911E+02, 0.3488204E+03, 0.2229199E+06, 0.3358367E+05, 0.1114600E+03, 0.2835113E+03
24-lwm, 0.2252878E+03, 0.2258983E+04, 0.1101351E+03, 0.1327125E+04, 0.1021804E+04, 0.2459064E+04, 0.1965366E+03, 0.2712495E+02, 0.2236616E+03, 0.8704940E+05, 0.1815333E+05, 0.4352470E+02, 0.1740166E+03
24-hom, 0.6315582E+02, 0.6174921E+03, 0.7862657E+02, 0.7284746E+03, 0.1178452E+03, 0.9249464E+03, 0.5536520E+02, 0.3073348E+01, 0.5843855E+02, 0.3896671E+05, 0.2049407E+04, 0.1948336E+02, 0.4931353E+02
24-alf, 0.1542425E+02, 0.1555190E+03, 0.2777594E+01, 0.5093342E+02, 0.7285103E+01, 0.6099611E+02, 0.5709720E+01, 0.1969129E+00, 0.5906633E+01, 0.2406413E+04, 0.1275363E+03, 0.1203206E+01, 0.1188657E+02
24-hyw, 0.7861875E+02, 0.7934226E+03, 0.1554983E+02, 0.1247791E+03, 0.4200788E+02, 0.1823368E+03, 0.3296273E+02, 0.1218846E+01, 0.3418158E+02, 0.1256752E+05, 0.7437482E+03, 0.6283761E+01, 0.6038764E+02
24-hyo, 0.1162549E+03, 0.1179574E+04, 0.1260425E+02, 0.1769949E+03, 0.3781247E+02, 0.2274117E+03, 0.2667031E+02, 0.1122887E+01, 0.2779319E+02, 0.2053353E+05, 0.6694918E+03, 0.1026676E+02, 0.8912433E+02
24-pas, 0.1138865E+03, 0.1180798E+04, 0.2251524E+02, 0.3050686E+03, 0.1112624E+03, 0.4388463E+03, 0.5515495E+02, 0.3139356E+01, 0.5829430E+02, 0.2405164E+04, 0.1958301E+04, 0.1202582E+01, 0.9500500E+02
24-trp, 0.4423850E+00, 0.4607228E+01, 0.4207353E+01, 0.4209774E+01, 0.2874425E+01, 0.1129155E+02, 0.1757652E+01, 0.8015557E-01, 0.1837808E+01, 0.8770487E+02, 0.5104473E+02, 0.4385243E-01, 0.2480443E+00
24-urs, 0.8198174E+00, 0.8768727E+01, 0.3773292E+01, 0.5271611E+02, 0.7792257E+01, 0.6428166E+02, 0.2887640E+02, 0.2224263E+00, 0.2909883E+02, 0.1446324E+03, 0.1383206E+03, 0.7231620E-01, 0.4595534E+00
24-nhi, 0.1747293E+03, 0.1805335E+04, 0.9581165E+02, 0.9238624E+03, 0.8430025E+03, 0.1862677E+04, 0.1282582E+03, 0.2248713E+02, 0.1507453E+03, 0.1065257E+06, 0.1495120E+05, 0.5326285E+02, 0.1304369E+03
24-nlo, 0.1455472E+03, 0.1533415E+04, 0.6521377E+02, 0.7916108E+03, 0.6195914E+03, 0.1476416E+04, 0.1029671E+03, 0.1667504E+02, 0.1196422E+03, 0.5593225E+05, 0.1100648E+05, 0.2796613E+02, 0.1077053E+03
24-nho, 0.3315440E+02, 0.3354923E+03, 0.3830959E+02, 0.3653909E+03, 0.5475436E+02, 0.4584548E+03, 0.3176741E+02, 0.1588257E+01, 0.3335567E+02, 0.1964994E+05, 0.9412166E+03, 0.9824971E+01, 0.2448599E+02
24-nal, 0.8437840E+01, 0.9113770E+02, 0.1652404E+01, 0.2557592E+02, 0.3480202E+01, 0.3070853E+02, 0.2901059E+01, 0.1096571E+00, 0.3010716E+01, 0.1524097E+04, 0.5964297E+02, 0.7620484E+00, 0.6228984E+01
24-nhy, 0.5340556E+02, 0.5734529E+03, 0.8562412E+01, 0.6699769E+02, 0.2296066E+02, 0.9852076E+02, 0.1723366E+02, 0.6602949E+00, 0.1789396E+02, 0.9889268E+04, 0.4067667E+03, 0.4944634E+01, 0.3926140E+02
24-npa, 0.6257771E+02, 0.6838300E+03, 0.1160103E+02, 0.1583777E+03, 0.6281673E+02, 0.2327955E+03, 0.2765992E+02, 0.1685559E+01, 0.2934548E+02, 0.1664452E+04, 0.1110721E+04, 0.8322262E+00, 0.4924517E+02
24-rpd, 0.2050800E+03, 0.2137667E+04, 0.4873793E+02, 0.2273457E+03, 0.6342623E+03, 0.9103459E+03, 0.5044225E+02, 0.1480739E+02, 0.6524963E+02, 0.1286271E+05, 0.1152993E+05, 0.6431354E+01, 0.1681800E+03
24-npd, 0.2573100E+04, 0.2663536E+05, 0.5945297E+03, 0.2902315E+04, 0.7944005E+04, 0.1144085E+05, 0.6281215E+03, 0.1855021E+03, 0.8136236E+03, 0.1682747E+06, 0.1443831E+06, 0.8413736E+02, 0.2197170E+04
24-cpd, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rcn, 0.3437100E+03, 0.3607794E+04, 0.1335762E+03, 0.1729921E+04, 0.2528549E+04, 0.4392046E+04, 0.9688754E+03, 0.6310562E+02, 0.1031981E+04, 0.4593909E+06, 0.4475057E+05, 0.2296954E+03, 0.1984478E+03
24-ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-nex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-cex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-afo, 0.0000000E+00, 0.0000000E+00, 0.1545226E+03, 0.0000000E+00, 0.3098575E+03, 0.4643800E+03, 0.4238171E+02, 0.4285414E+02, 0.8523585E+02, 0.1075729E+04, 0.1758939E+04, 0.5378645E+00, 0.3545277E+01
24-cfo, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rid, 0.1924444E+03, 0.1955824E+04, 0.2000571E+03, 0.0000000E+00, 0.4413667E+03, 0.6414237E+03, 0.8294126E+02, 0.1192320E+02, 0.9486446E+02, 0.3343214E+05, 0.7768363E+04, 0.1671608E+02, 0.6664165E+02
24-nid, 0.1957233E+04, 0.1988495E+05, 0.2034422E+04, 0.0000000E+00, 0.4488299E+04, 0.6522722E+04, 0.8434047E+03, 0.1212278E+03, 0.9646325E+03, 0.3404896E+06, 0.7899698E+05, 0.1702448E+03, 0.6787765E+03
24-cid, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-wwtp  , 0.4366374E+00, 0.7352102E+01, 0.1603548E+02, 0.1816009E+01, 0.3513325E+01, 0.2136481E+02, 0.2991074E+01, 0.5697283E+00, 0.3560802E+01, 0.2829584E+02, 0.1994713E+02, 0.1414792E-01
24-indus , 0.3179896E+00, 0.5882939E+01, 0.2074578E+00, 0.1262035E+01, 0.2593222E+00, 0.1728815E+01, 0.5791437E-02, 0.2852476E-02, 0.8643914E-02, 0.2593223E+02, 0.1472431E+01, 0.1296611E-01
24-cso   , 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-septic, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-atdep , 0.0000000E+00, 0.0000000E+00, 0.4274367E+03, 0.1694620E+04, 0.8696127E+02, 0.2209018E+04, 0.2717540E+02, 0.8043918E+02, 0.1076146E+03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1743570E+03
24, 0.1915341E+05, 0.1974412E+06, 0.5459561E+04, 0.3340104E+05, 0.3105158E+05, 0.6991218E+05, 0.4203815E+04, 0.8167303E+03, 0.5020545E+04, 0.1983778E+07, 0.5481419E+06, 0.9918892E+03, 0.1553372E+05
total, 0.1915341E+05, 0.1974412E+06, 0.5459561E+04, 0.3340104E+05, 0.3105158E+05, 0.6991218E+05, 0.4203815E+04, 0.8167303E+03, 0.5020545E+04, 0.1983778E+07, 0.5481419E+06, 0.9918892E+03, 0.1553372E+05
