TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.0858521,44.4,0.05,1.3,1.06,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.06,0,0.9
A10003,1,39.57675237,68.12,0.05,1.3,1.1,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.1,0,0.9
A10005,1,38.66226838,35.3,0.05,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A11001,1,38.91164515,159.02,0.05,1.3,1.22,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.22,0,0.9
A24001,1,39.63643987,944.8,0.05,1.3,2.33,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,2.33,0,0.9
A24003,1,39.00248079,108.71,0.05,1.3,1.15,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.15,0,0.9
A24005,1,39.46758802,557.81,0.05,1.3,1.78,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.78,0,0.9
A24009,1,38.55352098,83.68,0.05,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A24011,1,38.87286029,46.42,0.05,1.3,1.07,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.07,0,0.9
A24013,1,39.5630754,661.78,0.05,1.3,1.93,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.93,0,0.9
A24015,1,39.57694968,190.61,0.05,1.3,1.27,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.27,0,0.9
A24017,1,38.50663898,113.28,0.05,1.3,1.16,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.16,0,0.9
A24019,1,38.49100934,19.78,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24021,1,39.45624589,450.67,0.05,1.3,1.63,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.63,0,0.9
A24023,1,39.52923072,2498.59,0.05,1.3,4.51,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.51,0,0.9
A24025,1,39.58559005,435.86,0.05,1.3,1.61,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.61,0,0.9
A24027,1,39.25091961,543.05,0.05,1.3,1.76,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.76,0,0.9
A24029,1,39.26100108,49.28,0.05,1.3,1.07,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.07,0,0.9
A24031,1,39.13873721,460.58,0.05,1.3,1.65,0.12,32,0.13,0.5,0.03,0.03,0.186,0,0,0.15,100,30,1.65,0,0.9
A24033,1,38.82618772,144.61,0.05,1.3,1.2,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.2,0,0.9
