 seg ,TOTN,TOTP
SU1_1630_1610,    1.1552,    0.7814
SU2_1550_1620,    1.1552,    0.7814
SU2_1200_1310,    1.1552,    0.7814
SU1_1480_1500,    1.1552,    0.7814
SU2_1210_1310,    1.1552,    0.7814
SU2_0670_0810,    1.1552,    0.7814
SU2_1290_1500,    1.1552,    0.7814
SU3_1310_1280,    1.1552,    0.7814
SU3_1280_1590,    1.1552,    0.7814
SU3_1500_1420,    1.1552,    0.7814
SU2_1020_0980,    1.1552,    0.7814
SU3_0810_0970,    1.1552,    0.7814
SU1_0660_0710,    1.1552,    0.7814
SU2_0990_0950,    1.1552,    0.7814
SU3_0970_1120,    1.1552,    0.7814
SU2_0780_0710,    1.1552,    0.7814
SU2_0760_0960,    1.1552,    0.7814
SU2_0700_0860,    1.1552,    0.7814
SU3_0710_0910,    1.1552,    0.7814
SU3_0910_1010,    1.1552,    0.7814
SU1_0940_0900,    1.1552,    0.7814
SU2_0800_0850,    1.1514,    0.9069
SU2_0890_0900,    1.1552,    0.7814
SU2_0680_0610,    1.1514,    0.9069
SU2_0450_0720,    1.1514,    0.9069
SU2_0900_0870,    1.1552,    0.7814
SU3_0870_0730,    1.1552,    0.7814
SU3_0370_0490,    1.1514,    0.9069
SU2_0470_0590,    1.1514,    0.9069
SU2_0440_0550,    1.1514,    0.9069
SU2_0640_0630,    1.1514,    0.9069
SU3_0490_0530,    1.1514,    0.9069
SU1_0330_0560,    1.1514,    0.9069
SU1_0390_0560,    1.1514,    0.9069
SU1_0820_0740,    1.1514,    0.9069
SU2_0510_0570,    1.1514,    0.9069
SU2_0110_0240,    1.1514,    0.9069
SU1_0410_0480,    1.1514,    0.9069
SU2_0560_0590,    1.1514,    0.9069
SU3_0590_0540,    1.1514,    0.9069
SU2_0620_0580,    1.1514,    0.9069
SU1_0840_0831,    1.1514,    0.9069
SU2_0740_0741,    1.1514,    0.9069
SU2_0280_0430,    1.1514,    0.9069
SU2_0120_0260,    1.1514,    0.9069
SU2_0360_0460,    1.1514,    0.9069
SU3_0240_0350,    1.1514,    0.9069
SU2_0570_0580,    1.1514,    0.9069
SU4_0580_0630,    1.1514,    0.9069
SU2_0920_0830,    1.1514,    0.9069
SU2_0741_0690,    1.1514,    0.9069
SU1_0200_0270,    1.1514,    0.9069
SU1_0050_0090,    1.1514,    0.9069
SU2_0160_0260,    1.1514,    0.9069
SU4_0630_0650,    1.1514,    0.9069
SU2_0830_0831,    1.1514,    0.9069
SU3_0831_0790,    1.1514,    0.9069
SU3_0790_0770,    1.1514,    0.9069
SU1_0380_0400,    1.1514,    0.9069
SU1_0080_0210,    1.1514,    0.9069
SU4_0260_0350,    1.1514,    0.9069
SU4_0350_0420,    1.1514,    0.9069
SU2_0070_0090,    1.1514,    0.9069
SU3_0090_0170,    1.1514,    0.9069
SU3_0770_0690,    1.1514,    0.9069
SU4_0690_0650,    1.1514,    0.9069
SU5_0650_0530,    1.1514,    0.9069
SU3_0170_0270,    1.1514,    0.9069
SU2_0290_0291,    1.1514,    0.9069
SU1_0060_0190,    1.1514,    0.9069
SU4_0270_0430,    1.1514,    0.9069
SU2_0210_0300,    1.1514,    0.9069
SU2_0130_0250,    1.1514,    0.9069
SU4_0430_0420,    1.1514,    0.9069
SU5_0530_0610,    1.1514,    0.9069
SU5_0610_0600,    1.1514,    0.9069
SU5_0420_0500,    1.1514,    0.9069
SU2_0291_0320,    1.1514,    0.9069
SU3_0010_0190,    1.1514,    0.9069
SU5_0600_0750,    1.1514,    0.9069
SU3_0190_0300,    1.1514,    0.9069
SU4_0300_0310,    1.1514,    0.9069
SU2_0150_0220,    1.1514,    0.9069
SU2_0100_0230,    1.1514,    0.9069
SU2_0320_0340,    1.1514,    0.9069
SU2_0040_0180,    1.1514,    0.9069
SU2_0020_0140,    1.1514,    0.9069
SU2_0030_0140,    1.1514,    0.9069
SU3_0140_0180,    1.1514,    0.9069
SU3_0180_0230,    1.1514,    0.9069
SU4_0230_0220,    1.1514,    0.9069
SU4_0220_0250,    1.1514,    0.9069
SU4_0250_0340,    1.1514,    0.9069
SU5_0340_0310,    1.1514,    0.9069
SU5_0310_0400,    1.1514,    0.9069
SU5_0400_0460,    1.1514,    0.9069
SU5_0460_0480,    1.1514,    0.9069
SU6_0480_0520,    1.1514,    0.9069
SU6_0520_0500,    1.1514,    0.9069
SU6_0500_0550,    1.1514,    0.9069
SU7_0550_0540,    1.1514,    0.9069
SU7_0540_0720,    1.1514,    0.9069
SU7_0720_0750,    1.1514,    0.9069
SU7_0750_0850,    1.1514,    0.9069
SU7_0850_0730,    1.1514,    0.9069
SU7_0730_0860,    1.1552,    0.7814
SU7_0860_0960,    1.1552,    0.7814
SU7_0960_0950,    1.1552,    0.7814
SU7_0950_1010,    1.1552,    0.7814
SU7_1010_0980,    1.1552,    0.7814
SU7_0980_1120,    1.1552,    0.7814
SU7_1120_1140,    1.1552,    0.7814
SU7_1140_1420,    1.1552,    0.7814
SU7_1420_1590,    1.1552,    0.7814
SU8_1590_1620,    1.1552,    0.7814
SU8_1620_1610,    1.1552,    0.7814
SU8_1610_1530,    1.1552,    0.7814
