BMP,Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Urban Forest Buffers,ForestBufUrban,Urban,all,0.25,0.5,0.375,0.5
Enhanced Nutrient Management,EnhancedNM,nhi,all,0.07,0,0.035,0
Enhanced Nutrient Management,EnhancedNM,nho,all,0.07,0,0.035,0
Enhanced Nutrient Management,EnhancedNM,nlo,all,0.07,0,0.035,0
Enhanced Nutrient Management,EnhancedNM,nhy,all,0.07,0,0.035,0
Enhanced Nutrient Management,EnhancedNM,nal,all,0.07,0,0.035,0
Decision Agriculture,DecisionAg,nhi,all,0.035,0,0.0175,0
Decision Agriculture,DecisionAg,nho,all,0.035,0,0.0175,0
Decision Agriculture,DecisionAg,nlo,all,0.035,0,0.0175,0
Decision Agriculture,DecisionAg,nhy,all,0.035,0,0.0175,0
Decision Agriculture,DecisionAg,nal,all,0.035,0,0.0175,0
Conservation Plans,ConPlan,Hi_Till,all,0.08,0.15,0.115,0.25
Conservation Plans,ConPlan,Low_Till,all,0.03,0.05,0.04,0.08
Conservation Plans,ConPlan,allhay,all,0.03,0.05,0.04,0.08
Conservation Plans,ConPlan,pasture,all,0.05,0.1,0.075,0.14
Off Stream Watering Without Fencing,OSWnoFence,pasture,all,0.05,0.08,0.065,0.1
Upland Prescribed Grazing,UplandPG,pasture,all,0.1,0.2,0.15,0.3
Animal Waste Management - Livestock,AWMSLivestock,afo,all,0.75,0.75,0.75,0
Animal Waste Management - Poultry,AWMSPoultry,afo,all,0.75,0.75,0.75,0
Barnyard Runoff Control,BarnRunoffCont,afo,all,0.2,0.2,0.2,0.4
Loafing Lot Management,LoafLot,afo,all,0.2,0.2,0.2,0.4
Mortality Composters,MortalityComp,afo,all,0.4,0.1,0.25,0
Horse Pasture Management,HorsePasMan,pasture,all,0,0.2,0.1,0.4
Water Control Structures,WaterContStruc,crophay,all,0.33,0,0.165,0
Irrigation water CaptureReuse,CaptureReuse,urs,all,0.75,0.75,0.75,0
Wet Ponds and Wetlands,WetPondWetland,urban,all,0.2,0.45,0.325,0.6
Dry Detention Ponds and Hydrodynamic Structures,DryPonds,urban,all,0.05,0.1,0.075,0.1
Dry Extended Detention Ponds,ExtDryPonds,urban,all,0.2,0.2,0.2,0.6
Urban Filtering Practices,Filter,urban,all,0.4,0.6,0.5,0.8
Urban Infiltration Practices - nosand\veg_no underdrain,Infiltration,urban,all,0.8,0.85,0.825,0.95
Urban Infiltration Practices - with sandveg_no underdrain,InfiltWithSV,urban,all,0.85,0.85,0.85,0.95
E3 SWM On New Development,E3SWMNew,urban,all,0.5,0.6,0.55,0.9
Recent Stormwater Management,RcntSWM,urban,all,0.2,0.3,0.25,0.65
Retrofit Stormwater Management,RetroSWM,urban,all,0.25,0.35,0.3,0.65
Erosion and Sediment Control,EandS,urban,all,0.25,0.4,0.325,0.4
Erosion and Sediment Control on pul,EandSpul,pul,all,0.25,0.4,0.325,0.4
Erosion and Sediment Control on ext,EandSext,ext,all,0.25,0.4,0.325,0.4
Urban Nutrient Management,UrbanNutMan,Pervious_Urban,all,0.17,0.22,0.195,0
Urban Nutrient Management on Low-Intensity Pervious Urban,UrbanNutManpul,pul,all,0.17,0.22,0.195,0
Forest Harvesting Practices,ForHarvestBMP,forest,all,0.5,0.6,0.55,0.6
Street Sweeping Mechanical Monthly,StreetSweep,Impervious_Urban,all,0.03,0.03,0.03,0.09
Forest Buffers (Nitrogen),ForestBuffersN,ag,APSN,0.54,0,0.27,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,BR_N,0.34,0,0.17,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,CPDN,0.65,0,0.325,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,CPDT,0.19,0,0.095,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,CPLN,0.56,0,0.28,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,CPLT,0.19,0,0.095,0
