BMP,Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Forest Buffers (Nitrogen),ForestBuffersN,ag,ML_N,0.34,0,0.17,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,PCAN,0.46,0,0.23,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,PCRN,0.56,0,0.28,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,PCRT,0.19,0,0.095,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,VRCN,0.34,0,0.17,0
Forest Buffers (Nitrogen),ForestBuffersN,ag,VRSN,0.46,0,0.23,0
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,APSN,0,0.42,0.21,0.56
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,BR_N,0,0.3,0.15,0.4
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPDN,0,0.42,0.21,0.56
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPDT,0,0.45,0.225,0.6
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPLN,0,0.39,0.195,0.52
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPLT,0,0.45,0.225,0.6
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPUN,0,0.45,0.225,0.6
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,CPUT,0,0.45,0.225,0.6
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,ML_N,0,0.3,0.15,0.4
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,PCAN,0,0.36,0.18,0.48
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,PCRN,0,0.42,0.21,0.56
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,PCRT,0,0.45,0.225,0.6
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,VRCN,0,0.3,0.15,0.4
Forest Buffers (Phosphorus & Sediment),ForestBuffersPS,ag,VRSN,0,0.39,0.195,0.52
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,APSN,0.54,0,0.27,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,BR_N,0.34,0,0.17,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPDN,0.65,0,0.325,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPDT,0.19,0,0.095,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPLN,0.56,0,0.28,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPLT,0.19,0,0.095,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPUN,0.31,0,0.155,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,CPUT,0.19,0,0.095,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,ML_N,0.34,0,0.17,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,PCAN,0.46,0,0.23,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,PCRN,0.56,0,0.28,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,PCRT,0.19,0,0.095,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,VRCN,0.34,0,0.17,0
Forest Buffers trp (Nitrogen),ForestBufferstrpN,ag,VRSN,0.46,0,0.23,0
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,APSN,0,0.42,0.21,0.56
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,BR_N,0,0.3,0.15,0.4
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPDN,0,0.42,0.21,0.56
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPDT,0,0.45,0.225,0.6
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPLN,0,0.39,0.195,0.52
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPLT,0,0.45,0.225,0.6
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPUN,0,0.45,0.225,0.6
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,CPUT,0,0.45,0.225,0.6
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,ML_N,0,0.3,0.15,0.4
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,PCAN,0,0.36,0.18,0.48
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,PCRN,0,0.42,0.21,0.56
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,PCRT,0,0.45,0.225,0.6
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,VRCN,0,0.3,0.15,0.4
Forest Buffers trp (Phosphorus & Sediment),ForestBufferstrpPS,ag,VRSN,0,0.39,0.195,0.52
Grass Buffers (Nitrogen),GrassBuffersN,ag,APSN,0.38,0,0.19,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,BR_N,0.24,0,0.12,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPDN,0.46,0,0.23,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPDT,0.13,0,0.065,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPLN,0.39,0,0.195,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPLT,0.13,0,0.065,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPUN,0.21,0,0.105,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,CPUT,0.13,0,0.065,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,ML_N,0.24,0,0.12,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,PCAN,0.32,0,0.16,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,PCRN,0.39,0,0.195,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,PCRT,0.13,0,0.065,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,VRCN,0.24,0,0.12,0
Grass Buffers (Nitrogen),GrassBuffersN,ag,VRSN,0.32,0,0.16,0
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,APSN,0,0.42,0.21,0.56
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,BR_N,0,0.3,0.15,0.4
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPDN,0,0.42,0.21,0.56
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPDT,0,0.45,0.225,0.6
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPLN,0,0.39,0.195,0.52
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPLT,0,0.45,0.225,0.6
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPUN,0,0.45,0.225,0.6
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,CPUT,0,0.45,0.225,0.6
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,ML_N,0,0.3,0.15,0.4
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,PCAN,0,0.36,0.18,0.48
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,PCRN,0,0.42,0.21,0.56
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,PCRT,0,0.45,0.225,0.6
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,VRCN,0,0.3,0.15,0.4
Grass Buffers (Phosphorus & Sediment),GrassBuffersPS,ag,VRSN,0,0.39,0.195,0.52
Wetland Restoration,WetlandRestore,ag,APSN,0.07,0.12,0.095,0.04
Wetland Restoration,WetlandRestore,ag,BR_N,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,CPDN,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,CPDT,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,CPLN,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,CPLT,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,CPUN,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,CPUT,0.25,0.5,0.375,0.15
Wetland Restoration,WetlandRestore,ag,ML_N,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,PCAN,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,PCRN,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,PCRT,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,VRCN,0.14,0.26,0.2,0.08
Wetland Restoration,WetlandRestore,ag,VRSN,0.14,0.26,0.2,0.08
Continuous No-Till,ContinuousNT,lwm,APSN,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,CPDN,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,CPLN,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,CPUN,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,ML_N,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,PCRN,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,VRCN,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,BR_N,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,CPDT,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,CPLT,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,CPUT,0.1,0.2,0.15,0.7
Continuous No-Till,ContinuousNT,lwm,PCAN,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,PCRT,0.15,0.4,0.275,0.7
Continuous No-Till,ContinuousNT,lwm,VRSN,0.15,0.4,0.275,0.7
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPDN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPDT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPLN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPLT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPUN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,CPUT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,PCAN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,PCRN,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,PCRT,0.24,0.07,0.155,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,APSN,0.18,0.07,0.125,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,BR_N,0.18,0.07,0.125,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,ML_N,0.18,0.07,0.125,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,VRCN,0.18,0.07,0.125,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Hi_Till,VRSN,0.18,0.07,0.125,0.1
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPDN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPDT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPLN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPLT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPUN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,CPUT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,PCAN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,PCRN,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,PCRT,0.24,0,0.12,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,APSN,0.18,0,0.09,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,BR_N,0.18,0,0.09,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,ML_N,0.18,0,0.09,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,VRCN,0.18,0,0.09,0
Cover Crop Standard Other Wheat,CoverCropSOW,Low_Till,VRSN,0.18,0,0.09,0
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPDN,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPDT,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPLN,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPLT,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPUN,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,CPUT,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,PCAN,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,PCRN,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,PCRT,0.45,0.15,0.3,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,APSN,0.34,0.15,0.245,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,BR_N,0.34,0.15,0.245,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,ML_N,0.34,0.15,0.245,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,VRCN,0.34,0.15,0.245,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Hi_Till,VRSN,0.34,0.15,0.245,0.2
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPDN,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPDT,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPLN,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPLT,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPUN,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,CPUT,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,PCAN,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,PCRN,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,PCRT,0.45,0,0.225,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,APSN,0.34,0,0.17,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,BR_N,0.34,0,0.17,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,ML_N,0.34,0,0.17,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,VRCN,0.34,0,0.17,0
Cover Crop Early Drilled Rye,CoverCropEDR,Low_Till,VRSN,0.34,0,0.17,0
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPDN,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPDT,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPLN,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPLT,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPUN,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,CPUT,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,PCAN,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,PCRN,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,PCRT,0.27,0.15,0.21,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,APSN,0.2,0.15,0.175,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,BR_N,0.2,0.15,0.175,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,ML_N,0.2,0.15,0.175,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,VRCN,0.2,0.15,0.175,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Hi_Till,VRSN,0.2,0.15,0.175,0.2
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPDN,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPDT,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPLN,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPLT,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPUN,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,CPUT,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,PCAN,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,PCRN,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,PCRT,0.27,0,0.135,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,APSN,0.2,0,0.1,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,BR_N,0.2,0,0.1,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,ML_N,0.2,0,0.1,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,VRCN,0.2,0,0.1,0
Cover Crop Early Other Wheat,CoverCropEOW,Low_Till,VRSN,0.2,0,0.1,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPDN,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPDT,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPLN,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPLT,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPUN,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,CPUT,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,PCAN,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,PCRN,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,PCRT,0.41,0.07,0.24,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,APSN,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,BR_N,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,ML_N,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,VRCN,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Hi_Till,VRSN,0.31,0.07,0.19,0.1
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPDN,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPDT,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPLN,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPLT,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPUN,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,CPUT,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,PCAN,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,PCRN,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,PCRT,0.41,0,0.205,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,APSN,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,BR_N,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,ML_N,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,VRCN,0.31,0,0.155,0
Cover Crop Standard Drilled Rye,CoverCropSDR,Low_Till,VRSN,0.31,0,0.155,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPDN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPDT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPLN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPLT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPUN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,CPUT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,PCAN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,PCRN,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,PCRT,0.29,0.07,0.18,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,APSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,BR_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,ML_N,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,VRCN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Hi_Till,VRSN,0.22,0.07,0.145,0.1
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPDN,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPDT,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPLN,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPLT,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPUN,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,CPUT,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,PCAN,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,PCRN,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,PCRT,0.29,0,0.145,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,APSN,0.22,0,0.11,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,BR_N,0.22,0,0.11,0
Cover Crop Standard Drilled Barley,CoverCropSDB,Low_Till,ML_N,0.22,0,0.11,0
